room_type,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,0,0,4,2,700
Entire home/apt,0,0,7,3,650
Entire home/apt,0,0,3,0,600
Entire home/apt,1,0,8,4,600
Entire home/apt,0,0,6,3,699
Entire home/apt,0,0,4,3,600
Entire home/apt,0,0,5,4,590
Entire home/apt,0,0,6,2,700
Entire home/apt,3,5,9,5,680
Entire home/apt,0,0,5,1,550
Entire home/apt,0,0,6,2,600
Entire home/apt,0,0,6,2,550
Entire home/apt,0,0,7,5,599
Entire home/apt,0,0,2,1,550
Entire home/apt,0,0,4,0,550
Entire home/apt,0,0,4,1,600
Entire home/apt,1,0,8,4,575
Entire home/apt,6,5,16,7,695
Entire home/apt,1,0,7,3,550
Entire home/apt,0,0,3,1,600
Entire home/apt,0,0,3,1,550
Entire home/apt,2,0,10,4,550
Entire home/apt,0,0,3,1,571
Entire home/apt,0,0,4,1,550
Entire home/apt,2,0,15,5,550
Entire home/apt,0,0,3,1,571
Entire home/apt,0,0,4,1,595
Entire home/apt,0,0,2,0,550
Entire home/apt,0,0,4,1,692
Entire home/apt,0,0,4,1,550
Entire home/apt,0,0,5,1,600
Entire home/apt,0,0,4,2,690
Entire home/apt,0,0,4,1,666
Entire home/apt,0,0,8,4,650
Entire home/apt,0,0,4,1,600
Entire home/apt,16,5,4,2,550
Entire home/apt,0,0,2,1,650
Entire home/apt,7,5,13,6,649
Entire home/apt,0,0,8,3,659
Entire home/apt,0,0,6,2,600
Entire home/apt,0,0,8,3,595
Entire home/apt,0,0,5,2,700
Entire home/apt,0,0,3,2,600
Entire home/apt,0,0,8,4,700
Entire home/apt,0,0,8,3,599
Entire home/apt,0,0,5,3,620
Entire home/apt,0,0,4,2,700
Entire home/apt,0,0,5,3,650
Entire home/apt,1,0,2,1,600
Entire home/apt,10,5,15,4,549
Entire home/apt,0,0,2,0,700
Entire home/apt,0,0,8,3,700
