"","ds","location","data_type","value"
"528",2020-03-24,"US","deaths_new",239
"529",2020-03-23,"US","cases_new",10698
"530",2020-03-23,"US","deaths_new",189
"531",2020-03-22,"US","recovered_new",2
"532",2020-03-22,"US","cases_new",8644
"533",2020-03-22,"US","deaths_new",110
"534",2020-03-21,"US","recovered_new",29
"535",2020-03-21,"US","cases_new",5772
"536",2020-03-21,"US","deaths_new",99
"537",2020-03-20,"US","recovered_new",26
"538",2020-03-20,"US","cases_new",6062
"539",2020-03-20,"US","deaths_new",99
"540",2020-03-19,"US","recovered_new",16
"541",2020-03-19,"US","cases_new",4288
"542",2020-03-19,"US","deaths_new",74
"543",2020-03-18,"US","recovered_new",88
"544",2020-03-18,"US","cases_new",2416
"545",2020-03-18,"US","deaths_new",59
"546",2020-03-17,"US","cases_new",1616
"547",2020-03-17,"US","deaths_new",35
"548",2020-03-16,"US","recovered_new",5
"549",2020-03-16,"US","cases_new",1368
"550",2020-03-16,"US","deaths_new",27
"551",2020-03-15,"US","cases_new",172
"552",2020-03-15,"US","deaths_new",12
"553",2020-03-14,"US","cases_new",699
"554",2020-03-14,"US","deaths_new",7
"555",2020-03-13,"US","cases_new",585
"556",2020-03-13,"US","deaths_new",8
"557",2020-03-12,"US","recovered_new",4
"558",2020-03-12,"US","cases_new",425
"559",2020-03-12,"US","deaths_new",10
"560",2020-03-11,"US","cases_new",392
"561",2020-03-11,"US","deaths_new",5
"562",2020-03-10,"US","recovered_new",1
"563",2020-03-10,"US","cases_new",198
"564",2020-03-10,"US","deaths_new",6
"565",2020-03-09,"US","cases_new",65
"566",2020-03-09,"US","deaths_new",1
"567",2020-03-08,"US","cases_new",113
"568",2020-03-08,"US","deaths_new",4
"569",2020-03-07,"US","cases_new",122
"570",2020-03-07,"US","deaths_new",3
"571",2020-03-06,"US","cases_new",43
"572",2020-03-06,"US","deaths_new",2
"573",2020-03-05,"US","cases_new",69
"574",2020-03-05,"US","deaths_new",1
"575",2020-03-04,"US","cases_new",31
"576",2020-03-04,"US","deaths_new",4
"577",2020-03-03,"US","cases_new",20
"578",2020-03-03,"US","deaths_new",1
"579",2020-03-02,"US","cases_new",22
"580",2020-03-02,"US","deaths_new",5
"581",2020-03-01,"US","cases_new",6
"582",2020-02-29,"US","cases_new",8
"583",2020-02-29,"US","deaths_new",1
"584",2020-02-28,"US","recovered_new",1
"585",2020-02-27,"US","cases_new",1
"586",2020-02-25,"US","recovered_new",1
"587",2020-02-21,"US","cases_new",2
"588",2020-02-21,"US","recovered_new",2
"589",2020-02-13,"US","cases_new",1
"590",2020-02-11,"US","cases_new",1
"591",2020-02-09,"US","recovered_new",3
"592",2020-02-03,"US","cases_new",3
"593",2020-02-01,"US","cases_new",1
"594",2020-01-31,"US","cases_new",2
"595",2020-01-26,"US","cases_new",3
"596",2020-01-24,"US","cases_new",1
"597",2020-01-22,"US","cases_new",1
